DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
879.6800,895.1480,15.4680,1.7584,0.9665,5.4108,0.0000,-5.4108
882.8920,911.4930,28.6010,3.2395,,0.0035,0.0187,0.0152
883.0490,926.5720,43.5230,4.9287,,0.0335,0.6766,0.6430
884.2860,906.1770,21.8910,2.4756,,0.2169,0.6802,0.4634
889.3260,901.9440,12.6180,1.4188,,0.0741,1.3285,1.2543
892.1490,919.9860,27.8370,3.1202,,0.2738,3.6745,3.4007
904.0890,935.8080,31.7190,3.5084,,0.2606,0.7269,0.4663
904.2990,917.3490,13.0500,1.4431,,0.0136,0.1307,0.1171
907.3160,939.4270,32.1110,3.5391,,0.0121,15.7353,15.7232
907.7300,933.1170,25.3870,2.7968,,9.1904,23.5793,14.3889
910.5390,914.8510,4.3120,0.4736,,0.0203,0.0576,0.0373
911.7710,959.3260,47.5550,5.2157,,0.0091,3.7589,3.7498
912.5670,935.6180,23.0510,2.5260,0.9938,46.8726,0.0000,-46.8726
913.4000,927.7550,14.3550,1.5716,,0.1254,0.3447,0.2193
925.3980,948.8340,23.4360,2.5325,,1.3072,0.2765,-1.0308
927.8860,942.8610,14.9750,1.6139,,0.9244,4.5684,3.6440
929.0250,956.1910,27.1660,2.9241,,0.0059,0.0298,0.0239
930.2610,950.6250,20.3640,2.1891,,0.2505,1.1502,0.8997
931.1280,935.9700,4.8420,0.5200,,0.5748,316.8790,316.3042
932.2520,968.9400,36.6880,3.9354,,1.0734,0.0482,-1.0252
933.7760,951.9110,18.1350,1.9421,,0.0329,0.0036,-0.0292
934.8510,946.9180,12.0670,1.2908,,0.1927,0.3993,0.2066
942.7200,953.5860,10.8660,1.1526,,0.3874,0.3247,-0.0628
945.1360,961.9300,16.7940,1.7769,,0.2547,0.1118,-0.1429
945.9920,988.1740,42.1820,4.4590,,0.4966,0.4571,-0.0396
946.0090,955.5300,9.5210,1.0064,,0.0882,0.4262,0.3380
946.5280,959.8170,13.2890,1.4040,,0.0947,0.3609,0.2662
958.7190,994.9400,36.2210,3.7781,,0.1050,0.1818,0.0767
959.0600,989.4060,30.3460,3.1641,,0.0817,0.0109,-0.0708
960.3390,985.4020,25.0630,2.6098,0.9955,3.4489,0.0000,-3.4489
962.2830,981.7430,19.4600,2.0223,,0.1025,0.3529,0.2504
965.7550,997.8020,32.0470,3.3183,,0.2126,5.9597,5.7472
968.9980,980.6900,11.6920,1.2066,,0.0635,0.2765,0.2129
972.1570,992.7290,20.5720,2.1161,,0.2788,0.8832,0.6044
977.1020,1004.0400,26.9380,2.7569,,0.0846,1.3371,1.2525
977.4250,979.5440,2.1190,0.2168,,0.1180,0.0444,-0.0737
981.9120,990.1780,8.2660,0.8418,,0.0119,0.0303,0.0184
984.0950,1008.0060,23.9110,2.4297,0.9963,0.0472,0.0000,-0.0472
991.5920,1027.1640,35.5720,3.5874,,0.0933,1.5983,1.5051
992.0150,1000.1620,8.1470,0.8213,,0.0714,0.5229,0.4515
992.8000,1021.9890,29.1890,2.9401,,0.8759,0.5215,-0.3544
993.2160,1014.0280,20.8120,2.0954,,0.7648,29.9729,29.2081
995.3000,1015.1320,19.8320,1.9926,,0.1762,0.2617,0.0855
995.7920,1020.9430,25.1510,2.5257,,0.0746,0.6294,0.5547
996.7680,1043.3550,46.5870,4.6738,,6.5785,0.6964,-5.8821
996.9370,1014.8220,17.8850,1.7940,,1.8591,7.9829,6.1239
999.0330,1030.4050,31.3720,3.1402,,1.1034,0.3489,-0.7545
1001.3090,1023.0130,21.7040,2.1676,,2.0449,0.9325,-1.1124
1001.4230,1025.3770,23.9540,2.3920,,0.0310,0.1917,0.1606
1003.9110,1041.3760,37.4650,3.7319,0.9939,65.9552,0.0000,-65.9552
1009.7040,1036.7880,27.0840,2.6824,,4.0973,0.7258,-3.3715
1013.8640,1030.9460,17.0820,1.6848,,3.2419,0.0175,-3.2244
1014.8990,1025.1600,10.2610,1.0110,,4.5129,0.5732,-3.9397
1016.4840,1026.7320,10.2480,1.0082,,1.3065,1.1287,-0.1778
1017.2420,1053.4930,36.2510,3.5637,,0.2629,41.2608,40.9980
1018.4580,1039.3080,20.8500,2.0472,,0.0195,2.5767,2.5572
1021.6790,1046.7470,25.0680,2.4536,,0.0065,0.0062,-0.0003
1029.1030,1076.1650,47.0620,4.5731,,2.6254,7.3774,4.7519
1029.8140,1045.3990,15.5850,1.5134,,2.2395,5.2300,2.9905
1031.7110,1054.4890,22.7780,2.2078,,0.6645,18.5332,17.8686
1039.6590,1041.5450,1.8860,0.1814,,0.0802,0.0158,-0.0644
1040.3680,1058.5680,18.2000,1.7494,,0.5194,29.5275,29.0081
1040.9650,1083.3780,42.4130,4.0744,,0.0009,0.0604,0.0595
1042.0000,1077.9510,35.9510,3.4502,,0.1140,0.0033,-0.1106
1043.1500,1012.0760,-31.0740,-2.9789,0.9980,10.1351,0.0000,-10.1351
1043.5200,1061.3490,17.8290,1.7085,,0.3280,1.3324,1.0045
1050.0390,1085.7100,35.6710,3.3971,,1.2224,5.1599,3.9375
1053.9520,1066.1310,12.1790,1.1556,0.9973,2.9607,0.0000,-2.9607
1055.3240,1075.6840,20.3600,1.9293,,0.7123,1.1449,0.4326
1058.6800,1064.7090,6.0290,0.5695,,2.2322,1.9584,-0.2738
1059.6890,1092.4330,32.7440,3.0900,,0.0341,0.1873,0.1532
1059.8870,1075.4460,15.5590,1.4680,,0.2344,0.0718,-0.1627
1059.9290,1087.4660,27.5370,2.5980,,2.1106,48.9428,46.8322
1063.3460,1075.2670,11.9210,1.1211,,1.3851,6.5978,5.2127
1064.3460,1071.2660,6.9200,0.6502,,0.1188,2.5144,2.3956
1064.8070,1105.9100,41.1030,3.8601,,0.0004,0.0357,0.0353
1065.5900,1100.5570,34.9670,3.2815,,0.0163,0.1575,0.1412
1068.0290,1080.0340,12.0050,1.1240,0.9770,139.0218,0.0000,-139.0218
1073.4370,1093.0900,19.6530,1.8308,,14.0153,7.3465,-6.6688
1076.0870,1087.0680,10.9810,1.0205,,14.1189,257.1493,243.0304
1078.9140,1071.8960,-7.0180,-0.6505,,0.1047,2.0934,1.9887
1079.5490,1131.7120,52.1630,4.8319,,0.0265,1.0302,1.0037
1082.4000,1090.4480,8.0480,0.7435,,22.9082,84.8343,61.9261
1082.9790,1112.8780,29.8990,2.7608,,1.0245,2.7610,1.7365
1083.2890,1115.3110,32.0220,2.9560,,0.0169,0.0179,0.0010
1083.9520,1106.8320,22.8800,2.1108,,13.8316,1.2767,-12.5548
1084.5290,1110.0480,25.5190,2.3530,,0.3228,0.0025,-0.3203
1085.5110,1104.6230,19.1120,1.7606,,0.1315,0.0017,-0.1298
1086.8880,1100.5410,13.6530,1.2562,,12.6155,5.4903,-7.1251
1088.7660,1105.1950,16.4290,1.5090,,0.2937,1.2978,1.0042
1089.4010,1094.6630,5.2620,0.4830,,0.0045,0.0208,0.0164
1092.9440,1116.0620,23.1180,2.1152,,1.2670,1.3318,0.0648
1094.6910,1129.4400,34.7490,3.1743,,0.3799,2.1211,1.7412
1095.6380,1123.6690,28.0310,2.5584,,0.3070,0.7600,0.4530
1099.8800,1141.4340,41.5540,3.7780,,1.3829,0.1119,-1.2710
1101.8520,1125.8060,23.9540,2.1740,,0.0034,0.0123,0.0089
1103.1190,1119.0920,15.9730,1.4480,,0.0271,0.0749,0.0478
1103.1230,1154.5660,51.4430,4.6634,,0.0003,0.0291,0.0288
1103.4540,1110.2810,6.8270,0.6187,,1.1468,2.3443,1.1975
1106.7130,1130.7320,24.0190,2.1703,,0.0278,0.0411,0.0132
1110.7850,1114.5330,3.7480,0.3374,,0.1814,0.0160,-0.1654
1119.3930,1137.3370,17.9440,1.6030,,0.7222,1.7593,1.0371
1123.4540,1167.0390,43.5850,3.8796,,0.2185,6.9977,6.7792
1123.6910,1139.4730,15.7820,1.4045,,0.5740,0.7856,0.2116
1124.7260,1134.2850,9.5590,0.8499,,0.2520,2.6806,2.4286
1126.7580,1140.4600,13.7020,1.2161,,0.4634,0.7280,0.2646
1127.4650,1159.4840,32.0190,2.8399,,0.5389,37.0274,36.4885
1128.9990,1155.7110,26.7120,2.3660,,0.0228,0.3588,0.3360
1130.3000,1150.0980,19.7980,1.7516,,0.2186,0.2526,0.0340
1130.9360,1150.1450,19.2090,1.6985,,22.2596,17.4730,-4.7866
1131.6010,1185.9470,54.3460,4.8026,,17.5348,77.8457,60.3109
1134.4620,1161.8600,27.3980,2.4151,,3.5287,0.0551,-3.4737
1135.1280,1154.6450,19.5170,1.7194,,0.7649,0.4155,-0.3494
1135.4970,1156.5040,21.0070,1.8500,,0.0085,0.2395,0.2310
1139.8060,1163.5070,23.7010,2.0794,,60.7168,4.6708,-56.0459
1140.0850,1146.2610,6.1760,0.5417,0.9935,13.0613,0.0000,-13.0613
1142.5770,1148.6810,6.1040,0.5342,,0.0219,0.8113,0.7894
1143.4980,1168.1220,24.6240,2.1534,,0.1212,0.0072,-0.1140
1144.9840,1171.6360,26.6520,2.3277,,1.0785,5.8733,4.7948
1145.9960,1157.2240,11.2280,0.9798,,3.6081,1.3797,-2.2284
